"anchor_id","stable_status","is_sab_stable_valid","retention_status","if_gamepromote_room","is_aa_promote","anchor_features"
"1855569530462397","新主播","0","0","0","0","male,24-30,1036,0,3,1.6493506493506493,77.0,390.0,326.0,263.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48051948051948,0.0,0.0,4.48051948051948"
"1902609321694367","新主播","1","0","0","0","unknown,unknown,93,0,14,31.649759461981617,213.1,3399.0,1516.4,996.9,395.5,511.1,66.1,1.6,1.1,0.0,0.0,2.3,2.1,2.2,1.3,16.6,0.8,38.568107519070104,0.0,0.0,38.568107519070104"
"2022704751327143","新主播","0","0","0","0","male,31-40,60,0,12,0.016666666666666666,86.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.0,0.03488372093023256"
"2145868489431363","新主播","0","0","0","0","male,18-23,149,0,5,0.0,2.0,5.5,2.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.6470588235294118"
"2340181959261134","新主播","0","0","0","0","male,18-23,65,0,9,0.0,23.0,80.0,68.0,56.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.9565217391304348"
"2946316573870471","新主播","0","1","1","0","female,18-23,14,1,4,3.6637918151811886,358.5,2409.75,1411.75,271.5,162.25,2921.75,35.0,6.0,2.75,0.0,0.0,0.5,0.5,0.0,0.0,9.25,1.5,5.239191073919107,0.0,0.0,5.239191073919107"
"3057057282140269","新主播","0","1","0","0","unknown,unknown,0,1,3,26.694664902998237,55.666666666666664,4195.0,3389.6666666666665,1281.3333333333333,1112.6666666666667,686.3333333333334,43.333333333333336,1.6666666666666667,1.3333333333333333,0.0,0.0,3.3333333333333335,3.3333333333333335,0.3333333333333333,0.3333333333333333,16.666666666666668,0.6666666666666666,40.77245508982036,0.0,0.0,40.77245508982036"
"3193403975929198","新主播","0","1","1","1","male,-18,1074,0,12,0.0,25.75,617.0,494.0,345.5,326.75,1.5,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,2.6,0.0,0.0,2.6"
"3221995513191939","新主播","0","1","0","0","male,18-23,40,0,1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
"3610437997308974","新主播","0","0","0","0","male,-18,62,0,7,0.22580645161290322,31.0,98.0,38.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.2903225806451613"
"3611257942054327","新主播","0","1","0","0","male,-18,83,0,6,0.0,68.0,1172.0,965.0,210.0,196.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,1.8823529411764706,0.0,0.0,1.8823529411764706"
